DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2016-08-03'
DEBUG:root:insert value for 'AAPL' in '2016-08-02'
DEBUG:root:insert value for 'AAPL' in '2016-08-01'
DEBUG:root:insert value for 'AAPL' in '2016-07-29'
DEBUG:root:insert value for 'AAPL' in '2016-07-28'
DEBUG:root:insert value for 'AAPL' in '2016-07-27'
DEBUG:root:insert value for 'AAPL' in '2016-07-26'
DEBUG:root:insert value for 'AAPL' in '2016-07-25'
DEBUG:root:insert value for 'AAPL' in '2016-07-22'
DEBUG:root:insert value for 'AAPL' in '2016-07-21'
DEBUG:root:insert value for 'AAPL' in '2016-07-20'
DEBUG:root:insert value for 'AAPL' in '2016-07-19'
DEBUG:root:insert value for 'AAPL' in '2016-07-18'
DEBUG:root:insert value for 'AAPL' in '2016-07-15'
DEBUG:root:insert value for 'AAPL' in '2016-07-14'
DEBUG:root:insert value for 'AAPL' in '2016-07-13'
DEBUG:root:insert value for 'AAPL' in '2016-07-12'
DEBUG:root:insert value for 'AAPL' in '2016-07-11'
DEBUG:root:insert value for 'AAPL' in '2016-07-08'
DEBUG:root:insert value for 'AAPL' in '2016-07-07'
DEBUG:root:insert value for 'AAPL' in '2016-07-06'
DEBUG:root:insert value for 'AAPL' in '2016-07-05'
DEBUG:root:insert value for 'AAPL' in '2016-07-01'
DEBUG:root:insert value for 'AAPL' in '2016-06-30'
DEBUG:root:insert value for 'AAPL' in '2016-06-29'
DEBUG:root:insert value for 'AAPL' in '2016-06-28'
DEBUG:root:insert value for 'AAPL' in '2016-06-27'
DEBUG:root:insert value for 'AAPL' in '2016-06-24'
DEBUG:root:insert value for 'AAPL' in '2016-06-23'
DEBUG:root:insert value for 'AAPL' in '2016-06-22'
DEBUG:root:insert value for 'AAPL' in '2016-06-21'
DEBUG:root:insert value for 'AAPL' in '2016-06-20'
DEBUG:root:insert value for 'AAPL' in '2016-06-17'
DEBUG:root:insert value for 'AAPL' in '2016-06-16'
DEBUG:root:insert value for 'AAPL' in '2016-06-15'
DEBUG:root:insert value for 'AAPL' in '2016-06-14'
DEBUG:root:insert value for 'AAPL' in '2016-06-13'
DEBUG:root:insert value for 'AAPL' in '2016-06-10'
DEBUG:root:insert value for 'AAPL' in '2016-06-09'
DEBUG:root:insert value for 'AAPL' in '2016-06-08'
DEBUG:root:insert value for 'AAPL' in '2016-06-07'
DEBUG:root:insert value for 'AAPL' in '2016-06-06'
DEBUG:root:insert value for 'AAPL' in '2016-06-03'
DEBUG:root:insert value for 'AAPL' in '2016-06-02'
DEBUG:root:insert value for 'AAPL' in '2016-06-01'
DEBUG:root:insert value for 'AAPL' in '2016-05-31'
DEBUG:root:insert value for 'AAPL' in '2016-05-27'
DEBUG:root:insert value for 'AAPL' in '2016-05-26'
DEBUG:root:insert value for 'AAPL' in '2016-05-25'
DEBUG:root:insert value for 'AAPL' in '2016-05-24'
DEBUG:root:insert value for 'AAPL' in '2016-05-23'
DEBUG:root:insert value for 'AAPL' in '2016-05-20'
DEBUG:root:insert value for 'AAPL' in '2016-05-19'
DEBUG:root:insert value for 'AAPL' in '2016-05-18'
DEBUG:root:insert value for 'AAPL' in '2016-05-17'
DEBUG:root:insert value for 'AAPL' in '2016-05-16'
DEBUG:root:insert value for 'AAPL' in '2016-05-13'
DEBUG:root:insert value for 'AAPL' in '2016-05-12'
DEBUG:root:insert value for 'AAPL' in '2016-05-11'
DEBUG:root:insert value for 'AAPL' in '2016-05-10'
DEBUG:root:insert value for 'AAPL' in '2016-05-09'
DEBUG:root:insert value for 'AAPL' in '2016-05-06'
DEBUG:root:insert value for 'AAPL' in '2016-05-05'
DEBUG:root:insert value for 'AAPL' in '2016-05-04'
DEBUG:root:insert value for 'AAPL' in '2016-05-03'
DEBUG:root:insert value for 'AAPL' in '2016-05-02'
DEBUG:root:insert value for 'AAPL' in '2016-04-29'
DEBUG:root:insert value for 'AAPL' in '2016-04-28'
DEBUG:root:insert value for 'AAPL' in '2016-04-27'
DEBUG:root:insert value for 'AAPL' in '2016-04-26'
DEBUG:root:insert value for 'AAPL' in '2016-04-25'
DEBUG:root:insert value for 'AAPL' in '2016-04-22'
DEBUG:root:insert value for 'AAPL' in '2016-04-21'
DEBUG:root:insert value for 'AAPL' in '2016-04-20'
DEBUG:root:insert value for 'AAPL' in '2016-04-19'
DEBUG:root:insert value for 'AAPL' in '2016-04-18'
DEBUG:root:insert value for 'AAPL' in '2016-04-15'
DEBUG:root:insert value for 'AAPL' in '2016-04-14'
DEBUG:root:insert value for 'AAPL' in '2016-04-13'
DEBUG:root:insert value for 'AAPL' in '2016-04-12'
DEBUG:root:insert value for 'AAPL' in '2016-04-11'
DEBUG:root:insert value for 'AAPL' in '2016-04-08'
DEBUG:root:insert value for 'AAPL' in '2016-04-07'
DEBUG:root:insert value for 'AAPL' in '2016-04-06'
DEBUG:root:insert value for 'AAPL' in '2016-04-05'
DEBUG:root:insert value for 'AAPL' in '2016-04-04'
DEBUG:root:insert value for 'AAPL' in '2016-04-01'
DEBUG:root:insert value for 'AAPL' in '2016-03-31'
DEBUG:root:insert value for 'AAPL' in '2016-03-30'
DEBUG:root:insert value for 'AAPL' in '2016-03-29'
DEBUG:root:insert value for 'AAPL' in '2016-03-28'
DEBUG:root:insert value for 'AAPL' in '2016-03-24'
DEBUG:root:insert value for 'AAPL' in '2016-03-23'
DEBUG:root:insert value for 'AAPL' in '2016-03-22'
DEBUG:root:insert value for 'AAPL' in '2016-03-21'
DEBUG:root:insert value for 'AAPL' in '2016-03-18'
DEBUG:root:insert value for 'AAPL' in '2016-03-17'
DEBUG:root:insert value for 'AAPL' in '2016-03-16'
DEBUG:root:insert value for 'AAPL' in '2016-03-15'
DEBUG:root:insert value for 'AAPL' in '2016-03-14'
DEBUG:root:insert value for 'AAPL' in '2016-03-11'
DEBUG:root:insert value for 'AAPL' in '2016-03-10'
DEBUG:root:insert value for 'AAPL' in '2016-03-09'
DEBUG:root:insert value for 'AAPL' in '2016-03-08'
DEBUG:root:insert value for 'AAPL' in '2016-03-07'
DEBUG:root:insert value for 'AAPL' in '2016-03-04'
DEBUG:root:insert value for 'AAPL' in '2016-03-03'
DEBUG:root:insert value for 'AAPL' in '2016-03-02'
DEBUG:root:insert value for 'AAPL' in '2016-03-01'
DEBUG:root:insert value for 'AAPL' in '2016-02-29'
DEBUG:root:insert value for 'AAPL' in '2016-02-26'
DEBUG:root:insert value for 'AAPL' in '2016-02-25'
DEBUG:root:insert value for 'AAPL' in '2016-02-24'
DEBUG:root:insert value for 'AAPL' in '2016-02-23'
DEBUG:root:insert value for 'AAPL' in '2016-02-22'
DEBUG:root:insert value for 'AAPL' in '2016-02-19'
DEBUG:root:insert value for 'AAPL' in '2016-02-18'
DEBUG:root:insert value for 'AAPL' in '2016-02-17'
DEBUG:root:insert value for 'AAPL' in '2016-02-16'
DEBUG:root:insert value for 'AAPL' in '2016-02-12'
DEBUG:root:insert value for 'AAPL' in '2016-02-11'
DEBUG:root:insert value for 'AAPL' in '2016-02-10'
DEBUG:root:insert value for 'AAPL' in '2016-02-09'
DEBUG:root:insert value for 'AAPL' in '2016-02-08'
